submitted,reward,correct,steps
070991,16.0,True,4
030193,19.0,True,7
030781,17.0,True,6
050510,16.0,True,4
071029,16.0,True,4
070953,16.0,True,4
100111,13.0,True,5
130219,16.0,True,4
151411,16.0,True,4
160540,16.0,True,4
030312,16.0,True,4
170290,16.0,True,4
200290,14.0,True,7
283620,16.0,True,4
280519,3.5,False,4
261000,16.0,True,4
282550,12.5,True,13
284390,13.0,True,5
282810,16.0,True,4
060312,16.5,True,5
284430,16.0,True,4
290382,3.5,False,4
284410,16.0,True,4
291260,6.0,False,4
290129,13.0,True,5
340239,4.0,False,5
290719,7.0,False,8
293942,17.0,True,6
300610,-1.0,False,5
291822,17.0,True,6
321410,13.0,True,5
290711,2.5,False,5
282010,2.0,False,4
310520,6.0,False,4
,-5.0,False,11
382100,6.0,True,14
392520,13.0,True,7
390890,13.0,True,7
490110,14.0,True,7
320810,1.5,False,4
511000,16.0,True,4
390390,3.5,False,7
511119,17.0,True,6
521131,17.0,True,6
520612,6.5,False,5
540244,16.0,True,4
540752,16.0,True,4
600541,13.0,True,5
551429,12.5,True,13
610452,16.0,True,4
521041,2.5,False,12
610910,13.0,True,5
630110,13.0,True,7
631090,16.0,True,4
611510,16.0,True,4
681599,3.5,False,4
680430,16.0,True,4
690390,16.0,True,4
720229,16.5,True,5
701919,8.5,False,9
721911,16.0,True,4
740710,16.0,True,4
,-12.5,False,15
721931,16.0,True,4
760611,16.0,True,4
811221,16.0,True,6
960500,-4.0,False,7
940399,1.5,False,4
840690,18.0,True,5
853669,2.0,False,5
840731,13.5,True,6
840510,13.0,True,5
722990,16.0,True,4
842111,14.5,True,7
842390,18.0,True,8
843311,9.5,False,6
845921,16.0,True,4
843420,15.0,True,8
845390,19.0,True,5
847690,16.0,True,4
846232,13.5,True,6
844317,13.5,True,6
850213,16.0,True,4
848049,16.0,True,4
848320,18.0,True,5
860691,16.0,True,4
850431,16.0,True,4
852692,5.0,False,9
854320,22.5,True,9
850590,13.0,True,5
900390,13.0,True,5
852581,-1.0,False,6
910390,1.0,False,6
920710,13.0,True,5
850131,1.5,False,4
910129,16.0,True,4
901600,13.0,True,5
853952,2.0,False,5
,1.5,False,15
