section,name,section_letter
I,live animals; animal products,A
II,Vegetable products,B
III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,C
IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",D
V,Mineral products,E
VI,Products of the chemical or allied industries,F
VII,Plastics and articles thereof; rubber and articles thereof,G
VIII,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",H
IX,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",I
X,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,J
XI,Textiles and textile articles,K
XII,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",L
XIII,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",M
XIV,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",N
XV,Base metals and articles of base metal,O
XVI,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",P
XVII,"Vehicles, aircraft, vessels and associated transport equipment",Q
XVIII,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",R
XIX,Arms and ammunition; parts and accessories thereof,S
XX,Miscellaneous manufactured articles,T
XXI,"Works of art, collectors' pieces and antiques",U
